Data Sources 2012-13 for http://jackdougherty.github.io/otl-metromerger,,,,,
"last updated October 2015 by Jack Dougherty, Trinity College, Hartford CT",,,,,
,,,,,
"PopACS2013: Population from American Community Survey, 5-year estimate (2009-13), US Census via Social Explorer (http://socialexplorer.com)",,,,,
"IncomePerCapACS2013: Income per capita (adults and children), American Community Survey, 5-year estimate (2009-13), US Census via Social Explorer (http://socialexplorer.com)",,,,,
IncomeTotalACS2013: IncomePerCap * Population (used for merger calculations),,,,,
"ENGLY2012: Equalized Net Grand List (full-value estimate of all taxable property: residential, commercial, industrial, vacant land), 2012 Grand List, Connecticut Office of Policy and Management (OPM), http://www.ct.gov/opm/cwp/view.asp?a=2987&q=385970&opmNav_GID=1807",,,,,
PerCapENGL2012: ENGLY2012 / Population,,,,,
"Note: Only 3 data columns are necessary (Pop, IncomeTotal, ENGLY) when joining town data to polygons to create geojson file (data.js)",,,,,
,,,,,
Town,PopACS2013,IncomePerCapACS2013,IncomeTotalACS2013,ENGLY2012,PerCapENGLY2012
Andover,3095,38340,118662300,359165307,116047
Ansonia,19163,25374,486241962,1276588989,66617
Ashford,4301,37447,161059547,403533699,93823
Avon,18205,64364,1171746620,3603844068,197959
Barkhamsted,3772,38415,144901380,485270508,128651
Beacon Falls,6038,34471,208135898,641059735,106171
Berlin,20179,38738,781694102,3080343787,152651
Bethany,5555,44641,247980755,815132209,146738
Bethel,18887,38900,734704300,2646524193,140124
Bethlehem,3585,42575,152631375,531735907,148322
Bloomfield,20562,41702,857476524,2802966115,136318
Bolton,4971,45492,226140732,614405621,123598
Bozrah,2618,32496,85074528,308291157,117758
Branford,28025,42521,1191651025,5030865923,179514
Bridgeport,145587,20132,2930957484,8275778089,56844
Bridgewater,1729,58719,101525151,522898157,302428
Bristol,60536,30573,1850767128,5400791639,89216
Brookfield,16614,48277,802074078,3191616523,192104
Brooklyn,8220,26491,217756020,736109247,89551
Burlington,9384,43049,403971816,1268897485,135219
Canaan,1148,40111,46047428,242972236,211648
Canterbury,5119,31550,161504450,479945794,93758
Canton,10304,44830,461928320,1540795085,149534
Chaplin,2408,33840,81486720,220319766,91495
Cheshire,29264,43722,1279480608,3959962623,135319
Chester,4154,41055,170542470,670265984,161354
Clinton,13239,37847,501056433,2143157440,161882
Colchester,16119,36860,594146340,1713186821,106284
Colebrook,1523,37227,56696721,236048961,154989
Columbia,5476,40206,220168056,676993655,123629
Cornwall,1519,40852,62054188,506565540,333486
Coventry,12435,38946,484293510,1353205676,108822
Cromwell,14076,38463,541405188,1794452347,127483
Danbury,81967,30770,2522124590,9754447760,119005
Darien,20925,94820,1984108500,12451401017,595049
Deep River,4615,40835,188453525,674174035,146083
Derby,12841,27568,354000688,943469618,73473
Durham,7380,47679,351871020,1008830953,136698
East Granby,5036,36769,185168684,804101890,159671
